x-axis,1,3
second,Volt,Volt
-50.0000E-06,+9.4564843774E+00,-6.2304687500E+00
-49.9000E-06,+9.4662500024E+00,-6.0351562500E+00
-49.8000E-06,+9.4564843774E+00,-5.8300781250E+00
-49.7000E-06,+9.4467187524E+00,-5.6347656250E+00
-49.6000E-06,+9.4564843774E+00,-5.4394531250E+00
-49.5000E-06,+9.4467187524E+00,-5.2539062500E+00
-49.4000E-06,+9.4467187524E+00,-5.0683593750E+00
-49.3000E-06,+9.4467187524E+00,-4.8730468750E+00
-49.2000E-06,+9.4369531274E+00,-4.6777343750E+00
-49.1000E-06,+9.4467187524E+00,-4.5019531250E+00
-49.0000E-06,+9.4467187524E+00,-4.3261718750E+00
-48.9000E-06,+9.4467187524E+00,-4.1406250000E+00
-48.8000E-06,+9.4467187524E+00,-3.9746093750E+00
-48.7000E-06,+9.4467187524E+00,-3.7988281250E+00
-48.6000E-06,+9.4467187524E+00,-3.6230468750E+00
-48.5000E-06,+9.4564843774E+00,-3.4570312500E+00
-48.4000E-06,+9.4467187524E+00,-3.2910156250E+00
-48.3000E-06,+9.4467187524E+00,-3.1445312500E+00
-48.2000E-06,+9.4467187524E+00,-2.9882812500E+00
-48.1000E-06,+9.4467187524E+00,-2.8320312500E+00
-48.0000E-06,+9.4467187524E+00,-2.6757812500E+00
-47.9000E-06,+9.4467187524E+00,-2.5195312500E+00
-47.8000E-06,+9.4564843774E+00,-2.3730468750E+00
-47.7000E-06,+9.4467187524E+00,-2.2265625000E+00
-47.6000E-06,+9.4564843774E+00,-2.0703125000E+00
-47.5000E-06,+9.4564843774E+00,-1.9238281250E+00
-47.4000E-06,+9.4467187524E+00,-1.7871093750E+00
-47.3000E-06,+9.4564843774E+00,-1.6308593750E+00
-47.2000E-06,+9.4564843774E+00,-1.4941406250E+00
-47.1000E-06,+9.4564843774E+00,-1.3476562500E+00
-47.0000E-06,+9.4564843774E+00,-1.2109375000E+00
-46.9000E-06,+9.4564843774E+00,-1.0644531250E+00
-46.8000E-06,+9.4564843774E+00,-927.7343750E-03
-46.7000E-06,+9.4467187524E+00,-800.7812500E-03
-46.6000E-06,+9.4564843774E+00,-673.8281250E-03
-46.5000E-06,+9.4564843774E+00,-546.8750000E-03
-46.4000E-06,+9.4564843774E+00,-410.1562500E-03
-46.3000E-06,+9.4564843774E+00,-292.9687500E-03
-46.2000E-06,+9.4564843774E+00,-166.0156250E-03
-46.1000E-06,+9.4564843774E+00,-48.8281250E-03
-46.0000E-06,+9.4564843774E+00,+48.8281250E-03
-45.9000E-06,+9.4564843774E+00,+166.0156250E-03
-45.8000E-06,+9.4564843774E+00,+273.4375000E-03
-45.7000E-06,+9.4564843774E+00,+380.8593750E-03
-45.6000E-06,+9.4662500024E+00,+488.2812500E-03
-45.5000E-06,+9.4662500024E+00,+595.7031250E-03
-45.4000E-06,+9.4662500024E+00,+703.1250000E-03
-45.3000E-06,+9.4662500024E+00,+800.7812500E-03
-45.2000E-06,+9.4662500024E+00,+908.2031250E-03
