Freq.	V(n002)/V(n001)
3.46736850452531e+002	(-2.65467500096378e+000dB,4.25523972617796e+001°)
3.54813389233575e+002	(-2.56434948673646e+000dB,4.18958651628492e+001°)
3.63078054770101e+002	(-2.47629943603898e+000dB,4.12409655835358e+001°)
3.71535229097172e+002	(-2.39051236428853e+000dB,4.05880357298604e+001°)
3.80189396320560e+002	(-2.30697351180861e+000dB,3.99374076976199e+001°)
3.89045144994280e+002	(-2.22566590445748e+000dB,3.92894076576713e+001°)
3.98107170553496e+002	(-2.14657042261034e+000dB,3.86443550778930e+001°)
4.07380277804112e+002	(-2.06966587790970e+000dB,3.80025619860779e+001°)
4.16869383470335e+002	(-1.99492909714281e+000dB,3.73643322775603e+001°)
4.26579518801592e+002	(-1.92233501255942e+000dB,3.67299610708880e+001°)
4.36515832240165e+002	(-1.85185675790673e+000dB,3.60997341143418e+001°)
4.46683592150962e+002	(-1.78346576943091e+000dB,3.54739272455769e+001°)
4.57088189614874e+002	(-1.71713189107765e+000dB,3.48528059061287e+001°)
4.67735141287197e+002	(-1.65282348311601e+000dB,3.42366247119911e+001°)
4.78630092322637e+002	(-1.59050753341083e+000dB,3.36256270809561e+001°)
4.89778819368445e+002	(-1.53014977057920e+000dB,3.30200449168931e+001°)
5.01187233627271e+002	(-1.47171477828364e+000dB,3.24200983506649e+001°)
5.12861383991364e+002	(-1.41516610994056e+000dB,3.18259955369191e+001°)
5.24807460249771e+002	(-1.36046640315370e+000dB,3.12379325055724e+001°)
5.37031796370251e+002	(-1.30757749321996e+000dB,3.06560930664168e+001°)
5.49540873857623e+002	(-1.25646052509730e+000dB,3.00806487649326e+001°)
5.62341325190348e+002	(-1.20707606327048e+000dB,2.95117588870853e+001°)
5.75439937337155e+002	(-1.15938419899959e+000dB,2.89495705106247e+001°)
5.88843655355587e+002	(-1.11334465448757e+000dB,2.83942186001850e+001°)
6.02559586074356e+002	(-1.06891688355573e+000dB,2.78458261433082e+001°)
6.16595001861481e+002	(-1.02606016846896e+000dB,2.73045043243825e+001°)
