#Digilent WaveForms Network Analyzer - Bode
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-08-19 01:44:42.919
#Start: 500 Hz
#Stop: 20000 Hz
#Steps: 161
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 4.66727 V
#Offset: -0.00127811 V
#Relative: yes

#Twin T notch filter
#R1 = R2 = 3k3
#R3 = 1k5
#C1 = C2 = 18nF
#C3 = 39nF
Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
6767.447155517348,-8.256503620619892,71.03985525830743
6925.286551506598,-8.000419925158642,70.2287740893255
7086.807287645794,-7.74612535332563,69.40269649608896
7252.095225042139,-7.505977457551247,68.60773272487535
7421.238227369678,-7.269538984743726,67.81003678615062
7594.326207575833,-7.041483858678763,67.03367484601984
7771.451175677259,-6.814621562749966,66.22764872233512
7952.707287670507,-6.596963071766279,65.42394310362511
8138.190895583401,-6.386684687417207,64.63476729583448
8328.000598693805,-6.182518826306696,63.85313136528565
8522.237295942974,-5.98321250068514,63.034382162293
8721.004239571344,-5.786432111829306,62.25189087090765
8924.407090005334,-5.59719945859544,61.46901929700294
9132.553972024236,-5.41469312916485,60.68765546065343
9345.555532237133,-5.235453269218947,59.90236536794202
9563.524997900371,-5.062537944838329,59.0911410967035
9786.578237106833,-4.890045997269854,58.30534047795447
10014.83382037904,-4.725992895277711,57.54650884327816
10248.41308369883,-4.564277286231555,56.76573051702337
10487.44019300704,-4.409112291109806,55.97004928982517
10732.04221020758,-4.254529425805452,55.20002179598481
10982.34916071096,-4.109343384755933,54.40863394111943
11238.49410255308,-3.963667216626134,53.65318465954647
11500.61319712622,-3.823029785029979,52.86762118228423
11768.84578155954,-3.685941401623701,52.11148306950213
12043.33444278796,-3.552306072413317,51.33299366267308
12324.22509334833,-3.422744410383721,50.58934868096799
12611.66704894362,-3.298887690109519,49.80927526914735
12905.81310781603,-3.173947651214903,49.06022645738715
13206.81963197146,-3.055964795013781,48.31735744947083
13514.84663029828,-2.937445334826842,47.56850121383664
13830.05784362479,-2.827737766350208,46.82426093194545
14152.62083176049,-2.717841134194594,46.08175086751042
14482.70706256744,-2.611531988430605,45.33955771107489
14820.49200310904,-2.508730920647176,44.62184723020629
15166.15521292474,-2.40768944086018,43.88082395339077
15519.88043948017,-2.311768519867038,43.15873208213104
15881.85571584355,-2.21909412685983,42.45076316746359
16252.27346064018,-2.126046655613478,41.75490264903617
16631.33058033829,-2.038926620358981,41.0350782447789
17019.22857392041,-1.952433520586977,40.34614269071267
17416.1736399961,-1.869426001727126,39.65510916496631
17822.37678641294,-1.78781098137618,38.97869586354284
18238.05394242395,-1.708838739206542,38.28742913313869
18663.42607347112,-1.633692934327344,37.62100169886983
19098.71929864616,-1.559969312174669,36.95508304366703
19544.16501089067,-1.490078364464267,36.30928227956431
20000,-1.421845253241194,35.65606862077323
